Mon, 09 Sep 2019 12:56:10 server_grpc.py[line:94] INFO: time:2019-09-09 12:56:10 server start
Mon, 09 Sep 2019 12:57:13 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 12:57:14 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 12:57:15 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 12:57:16 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 12:57:17 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 12:57:18 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 12:57:19 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 12:57:20 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 12:59:32 server_grpc.py[line:77] INFO: pull stock signal,remove it. stock_index:000818.SZ
Mon, 09 Sep 2019 12:59:32 server_grpc.py[line:77] INFO: pull stock signal,remove it. stock_index:000818.SZ
Mon, 09 Sep 2019 12:59:32 server_grpc.py[line:77] INFO: pull stock signal,remove it. stock_index:000818.SZ
Mon, 09 Sep 2019 12:59:32 server_grpc.py[line:77] INFO: pull stock signal,remove it. stock_index:000818.SZ
Mon, 09 Sep 2019 12:59:32 server_grpc.py[line:77] INFO: pull stock signal,remove it. stock_index:000818.SZ
Mon, 09 Sep 2019 12:59:32 server_grpc.py[line:77] INFO: pull stock signal,remove it. stock_index:000818.SZ
Mon, 09 Sep 2019 12:59:32 server_grpc.py[line:77] INFO: pull stock signal,remove it. stock_index:000818.SZ
Mon, 09 Sep 2019 12:59:32 server_grpc.py[line:77] INFO: pull stock signal,remove it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:07:50 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:07:50 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:07:52 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:07:53 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:07:54 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:07:55 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:07:56 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:07:57 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:07:58 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:07:59 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:08:00 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:08:01 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
Mon, 09 Sep 2019 13:08:02 server_grpc.py[line:65] INFO: receive stock signal, save it. stock_index:000818.SZ
